,researcher_id,document-count,eid,orcid,name,subject-area
1446,54683691100,10,9-s2.0-54683691100,,Collumeau Jean François,"['Computer Science (all)', 'Engineering (all)', 'Mathematics (all)']"
1447,54683921100,7,9-s2.0-54683921100,,Gálvez Laura,"['Agricultural and Biological Sciences (all)', 'Immunology and Microbiology (all)', 'Chemical Engineering (all)']"
1448,54784705200,22,9-s2.0-54784705200,0000-0002-1083-5015,Lanza-Gutierrez Jose M.,"['Computer Science (all)', 'Mathematics (all)', 'Engineering (all)']"
1449,54785790000,1,9-s2.0-54785790000,,De Miguel Anasagasti Pedro,[]
1450,54786286300,11,9-s2.0-54786286300,,Amor Fermín,"['Agricultural and Biological Sciences (all)', 'Environmental Science (all)', 'Chemistry (all)']"
1451,54787584500,1,9-s2.0-54787584500,,Frontán Jaime,[]
1452,54788354800,4,9-s2.0-54788354800,,Salvi Sergio,"['Computer Science (all)', 'Engineering (all)', 'Medicine (all)']"
1453,54788799800,2,9-s2.0-54788799800,,Cordero Marta,"['Computer Science (all)', 'Engineering (all)']"
1454,54789551200,13,9-s2.0-54789551200,,Coral W.,"['Computer Science (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Engineering (all)']"
1455,54790893800,4,9-s2.0-54790893800,,Gómez-González Alberto,"['Engineering (all)', 'Materials Science (all)', 'Environmental Science (all)']"
1456,54792224600,11,9-s2.0-54792224600,0000-0001-7180-3618,Martínez-Martí Fernando,"['Engineering (all)', 'Physics and Astronomy (all)', 'Medicine (all)']"
1457,54792740800,2,9-s2.0-54792740800,,De Santos Alberto,"['Engineering (all)', 'Social Sciences (all)']"
1458,54796836700,6,9-s2.0-54796836700,0000-0002-4030-6907,Mendonça Hugo,"['Energy (all)', 'Computer Science (all)', 'Social Sciences (all)']"
1459,54797110100,30,9-s2.0-54797110100,,Toledo Miguel Ángel,"['Engineering (all)', 'Environmental Science (all)', 'Computer Science (all)']"
1460,54797402100,2,9-s2.0-54797402100,,Rico Isabel,"['Psychology (all)', 'Social Sciences (all)', 'Medicine (all)']"
1461,54882042500,2,9-s2.0-54882042500,,Ayza José Román Wilhelmi,[]
1462,54883975100,1,9-s2.0-54883975100,,Santos Ugarte Laura,"['Computer Science (all)', 'Social Sciences (all)']"
1463,54884029800,1,9-s2.0-54884029800,,Aizpuru María Teresa Zapiain,"['Social Sciences (all)', 'Earth and Planetary Sciences (all)']"
